Aaron Brewer,LS,6-5,232,7/5/1990 (34),13
Andre Baccellia,WR,5-10,175,1/7/1997 (27),2
Andre Chachere,DB,6-0,197,2/10/1996 (28),4
Austen Pleasants,OT,6-7,330,8/22/1997 (26),1
BJ Ojulari,LB,6-2,248,4/5/2002 (22),2
Ben Stille,DE,6-4,296,11/12/1997 (26),2
Bernhard Seikovits,TE,6-5,262,7/24/1997 (26),1
Bilal Nichols,DT,6-3,313,9/14/1996 (27),7
Blake Gillikin,P,6-2,196,1/21/1998 (26),5
Blake Whiteheart,TE,6-4,247,3/22/2000 (24),2
Bobby Price,DB,6-3,208,4/25/1998 (26),5
Budda Baker,SS,5-10,195,1/10/1996 (28),8
Cameron Thomas,LB,6-4,267,7/1/2000 (24),3
Carter O'Donnell,OG,6-5,305,12/23/1998 (25),3
Chris Moore,WR,6-1,200,6/16/1993 (31),9
Christian Jones,OT,6-5,318,5/12/2000 (24),R
Clayton Tune,QB,6-3,220,3/23/1999 (25),2
Dadrion Taylor-Demerson,DB,5-11,195,1/20/2001 (23),R
Dan Chisena,WR,6-3,202,2/25/1997 (27),3
Daniel Arias,WR,6-3,216,9/2/1998 (25),1
Dante Stills,DT,6-4,286,12/14/1999 (24),2
Darius Robinson,DL,6-5,296,9/13/2001 (22),R
Darren Hall,CB,6-0,190,5/2/2000 (24),3
DeeJay Dallas,RB,5-10,214,9/16/1998 (25),5
Dennis Daley,OT,6-6,325,8/7/1996 (27),6
Dennis Gardeck,LB,6-0,232,8/9/1994 (29),7
Desmond Ridder,QB,6-3,207,8/31/1999 (24),3
Divaad Wilson,CB,6-0,195,1/26/2000 (24),1
Elijah Higgins,TE,6-3,234,10/27/2000 (23),2
Elijah Jones,CB,6-2,184,1/8/2000 (24),R
Elijah Wilkinson,OT,6-6,314,2/10/1995 (29),8
Emari Demercado,RB,5-9,215,1/20/1999 (25),2
Evan Brown,C,6-3,320,9/16/1996 (27),6
Garrett Williams,CB,5-10,192,6/1/2001 (23),2
Greg Dortch,WR,5-7,175,5/29/1998 (26),4
Hjalte Froholdt,C,6-5,310,8/20/1996 (27),6
Isaiah Adams,OG,6-4,316,7/21/2000 (23),R
Jackson Barton,OT,6-7,302,8/8/1995 (28),5
Jaden Davis,DB,5-10,182,7/18/2001 (22),R
Jalen Thompson,DB,5-11,190,7/18/1998 (25),6
James Conner,RB,6-1,233,5/5/1995 (29),8
Jeff Smith,WR,6-1,195,4/21/1997 (27),4
Jesse Luketa,LB,6-3,252,1/15/1999 (25),3
Joe Shimko,LS,6-0,233,9/30/2000 (23),R
Joey Blount,SAF,6-1,201,11/16/1998 (25),3
Jon Gaines II,OG,6-4,303,5/24/1999 (25),2
Jonah Williams,OT,6-5,312,11/17/1997 (26),6
Justin Jones,DT,6-3,309,8/28/1996 (27),7
Kei'Trel Clark,CB,5-10,181,3/19/2001 (23),2
Keith Ismael,C,6-3,310,7/25/1998 (25),4
Kelvin Beachum,OT,6-3,308,6/8/1989 (35),13
Khyiris Tonga,DT,6-4,338,7/7/1996 (28),4
Krys Barnes,LB,6-2,229,4/2/1998 (26),5
Kyler Murray,QB,5-10,207,8/7/1997 (26),6
Kyzir White,OLB,6-2,234,3/24/1996 (28),7
L.J. Collier,DE,6-3,291,9/12/1995 (28),6
Mack Wilson,LB,6-1,246,2/14/1998 (26),6
Markus Bailey,LB,6-1,235,3/7/1997 (27),5
Marquis Hayes,OG,6-5,318,2/14/1999 (25),2
Marvin Harrison Jr,WR,6-4,205,8/11/2002 (21),R
Matt Prater,K,5-10,201,8/10/1984 (39),18
Max Melton,CB,5-11,193,4/15/2002 (22),R
Michael Carter,RB,5-8,201,5/7/1999 (25),4
Michael Ojemudia,CB,6-1,200,9/12/1997 (26),4
Michael Wilson,WR,6-2,213,2/23/2000 (24),2
Myles Murphy,DL,6-4,312,â€”,R
Naquan Jones,DT,6-3,313,2/5/1998 (26),4
Owen Pappoe,LB,6-0,225,9/29/2000 (23),2
Paris Johnson Jr.,OT,6-6,313,7/3/2001 (23),2
Phil Hoskins,DT,6-5,315,1/2/1997 (27),3
Roy Lopez,DT,6-2,318,8/7/1997 (26),4
Sean Murphy-Bunting,CB,6-0,195,6/19/1997 (27),6
Starling Thomas V,CB,5-10,194,1/25/2000 (24),2
Tejhaun Palmer,WR,6-2,210,5/19/2000 (24),R
Tip Reiman,TE,6-4,273,9/17/2001 (22),R
Tony Jones,RB,5-11,224,11/24/1997 (26),4
Travis Vokolek,TE,6-6,260,6/4/1998 (26),1
Trevor Nowaske,LB,6-3,235,11/7/1998 (25),2
Trey Benson,RB,6-1,221,7/23/2002 (21),R
Trey McBride,TE,6-4,246,11/22/1999 (24),3
Trystan Colon-Castillo,C,6-3,313,3/23/1998 (26),5
Tyreek Maddox-Williams,LB,6-0,228,10/28/1997 (26),1
Tyreke Smith,LB,6-3,255,2/14/2000 (24),3
Verone McKinley III,SAF,5-10,195,6/29/1999 (25),2
Victor Dimukeje,LB,6-2,262,11/18/1999 (24),4
Will Hernandez,OG,6-3,332,9/2/1995 (28),7
Xavier Thomas,LB,6-2,245,12/20/1999 (24),R
Xavier Weaver,WR,6-1,180,10/12/2000 (23),R
Zach Pascal,WR,6-2,215,12/18/1994 (29),7
Zaven Collins,LB,6-4,260,5/19/1999 (25),4
Zay Jones,WR,6-2,200,3/30/1995 (29),8
