Ali Gaye,HOU,DE,6-6,265,11/29/1997 (26),(26),1
Andrew Beck,HOU,FB,6-3,255,5/15/1996 (28),(28),6
Azeez Al-Shaair,HOU,LB,6-2,228,8/4/1997 (26),(26),6
Ben Skowronek,HOU,WR,6-3,224,6/27/1997 (27),(27),4
Blake Fisher,HOU,OT,6-6,310,3/25/2003 (21),(21),R
Brandon Hill,HOU,SAF,5-11,195,9/6/2000 (23),(23),1
Brevin Jordan,HOU,TE,6-3,245,7/16/2000 (23),(23),4
British Brooks,HOU,RB,5-11,225,—,,R
C.J. Henderson,HOU,CB,6-1,204,9/30/1998 (25),(25),5
C.J. Stroud,HOU,QB,6-3,218,10/3/2001 (22),(22),2
Cade Stover,HOU,TE,6-4,255,6/12/2000 (24),(24),R
Calen Bullock,HOU,SAF,6-3,190,4/30/2003 (21),(21),R
Case Keenum,HOU,QB,6-1,206,2/17/1988 (36),(36),12
Charlie Heck,HOU,OT,6-8,311,11/20/1996 (27),(27),5
Christian Harris,HOU,LB,6-1,226,1/16/2001 (23),(23),3
D'Angelo Ross,HOU,CB,5-9,190,10/29/1996 (27),(27),3
Dalton Keene,HOU,TE,6-4,251,4/14/1999 (25),(25),2
Dalton Schultz,HOU,TE,6-5,244,7/11/1996 (28),(28),7
Dameon Pierce,HOU,RB,5-10,218,2/19/2000 (24),(24),3
Danielle Hunter,HOU,DE,6-5,263,10/29/1994 (29),(29),10
Dare Ogunbowale,HOU,RB,5-11,205,5/4/1994 (30),(30),6
David Sharpe,HOU,OT,6-6,343,10/21/1995 (28),(28),6
Davis Mills,HOU,QB,6-4,225,10/21/1998 (25),(25),4
Del'Shawn Phillips,HOU,LB,6-2,230,10/9/1996 (27),(27),5
Denico Autry,HOU,DT,6-5,273,7/15/1990 (33),(33),11
Derek Barnett,HOU,DE,6-3,259,6/25/1996 (28),(28),8
Derek Stingley Jr.,HOU,CB,6-0,190,6/20/2001 (23),(23),3
Desmond King,HOU,DB,5-10,200,12/14/1994 (29),(29),8
Dieter Eiselen,HOU,OG,6-4,320,6/10/1996 (28),(28),3
Dylan Horton,HOU,DE,6-4,275,8/21/2000 (23),(23),2
Eric Murray,HOU,SS,5-11,199,1/7/1994 (30),(30),9
Foley Fatukasi,HOU,DT,6-4,318,3/4/1995 (29),(29),7
Henry To'oTo'o,HOU,LB,6-2,228,1/5/2001 (23),(23),2
J.J. Taylor,HOU,RB,5-6,185,1/4/1998 (26),(26),3
Jacob Phillips,HOU,LB,6-3,229,4/1/1999 (25),(25),5
Jadon Janke,HOU,WR,6-3,210,—,,R
Jake Hansen,HOU,LB,6-1,235,6/19/1998 (26),(26),3
Jalen Pitre,HOU,SAF,5-11,198,6/3/1999 (25),(25),3
Jamal Hill,HOU,LB,6-0,226,—,,R
Jared Wayne,HOU,WR,6-3,210,10/7/2000 (23),(23),1
Jarrett Patterson,HOU,C,6-4,310,9/1/1999 (24),(24),2
Jawhar Jordan,HOU,RB,5-10,186,8/18/1999 (24),(24),R
Jaxon Janke,HOU,WR,6-3,210,—,,R
Jaylon Thomas,HOU,OG,6-5,311,3/31/2000 (24),(24),1
Jeff Okudah,HOU,CB,6-1,202,2/2/1999 (25),(25),5
Jerry Hughes,HOU,DE,6-2,254,8/13/1988 (35),(35),14
Jimmie Ward,HOU,SAF,5-11,195,7/18/1991 (32),(32),11
Joe Mixon,HOU,RB,6-1,228,7/24/1996 (27),(27),8
John Metchie III,HOU,WR,5-11,187,7/18/2000 (23),(23),2
Johnny Johnson III,HOU,WR,6-1,199,5/14/1999 (25),(25),1
Jon Weeks,HOU,LS,5-10,242,2/17/1986 (38),(38),15
Juice Scruggs,HOU,C,6-3,308,1/19/2000 (24),(24),2
Ka'imi Fairbairn,HOU,K,6-0,183,1/29/1994 (30),(30),9
Kamari Lassiter,HOU,CB,6-0,180,1/23/2003 (21),(21),R
Kendrick Green,HOU,OG,6-4,315,12/22/1998 (25),(25),4
Kenyon Green,HOU,OT,6-4,323,3/15/2001 (23),(23),3
Khalil Davis,HOU,DT,6-1,308,8/22/1996 (27),(27),4
Kilian Zierer,HOU,OT,6-7,312,2/24/1998 (26),(26),2
Kris Boyd,HOU,DB,5-11,200,9/12/1996 (27),(27),6
Kurt Hinish,HOU,DT,6-2,300,4/27/1999 (25),(25),3
LaDarius Henderson,HOU,OG,6-4,309,12/11/2001 (22),(22),R
Laremy Tunsil,HOU,OT,6-5,313,8/2/1994 (29),(29),9
Lonnie Johnson,HOU,CB,6-2,213,11/4/1995 (28),(28),6
M.J. Stewart,HOU,SAF,5-11,200,9/16/1995 (28),(28),7
Marcus Harris,HOU,DT,6-2,284,9/27/2000 (23),(23),R
Mario Edwards,HOU,DE,6-3,280,1/25/1994 (30),(30),10
Max Tooley,HOU,LB,6-2,225,3/5/1998 (26),(26),R
McTelvin Agim,HOU,DT,6-3,309,9/25/1997 (26),(26),3
Mike Ford,HOU,DB,6-0,194,8/4/1995 (28),(28),7
Myles Bryant,HOU,CB,5-9,185,1/2/1998 (26),(26),5
Neville Hewitt,HOU,LB,6-2,234,4/6/1993 (31),(31),10
Nick Broeker,HOU,OG,6-4,305,10/7/2000 (23),(23),2
Nico Collins,HOU,WR,6-4,215,3/19/1999 (25),(25),4
Noah Brown,HOU,WR,6-2,215,1/6/1996 (28),(28),8
Pheldarius Payne,HOU,DL,6-3,275,—,,R
Robert Woods,HOU,WR,6-0,195,4/10/1992 (32),(32),12
Shaq Mason,HOU,OG,6-1,310,8/28/1993 (30),(30),10
Solomon Byrd,HOU,DE,6-3,255,12/1/1999 (24),(24),R
Stefon Diggs,HOU,WR,6-0,191,11/29/1993 (30),(30),10
Steven Sims,HOU,WR,5-10,176,3/31/1997 (27),(27),4
Tank Dell,HOU,WR,5-10,165,10/29/1999 (24),(24),2
Tarique Barnes,HOU,LB,6-1,230,11/23/2000 (23),(23),R
Teagan Quitoriano,HOU,TE,6-6,259,3/15/2000 (24),(24),3
Tim Boyle,HOU,QB,6-4,232,10/3/1994 (29),(29),6
Tim Settle,HOU,DT,6-3,328,7/11/1997 (27),(27),7
Tommy Townsend,HOU,P,6-1,176,11/12/1996 (27),(27),5
Troy Hairston II,HOU,FB,5-11,245,12/8/1998 (25),(25),3
Troy Pride,HOU,CB,5-11,195,1/19/1998 (26),(26),3
Tytus Howard,HOU,OT,6-5,322,5/23/1996 (28),(28),6
Will Anderson Jr.,HOU,DE,6-4,243,9/2/2001 (22),(22),2
Xavier Hutchinson,HOU,WR,6-3,205,6/1/2000 (24),(24),2
