AJ Arcuri,LAR,OT,6-7,320,8/13/1997,26,2
Alaric Jackson,LAR,OT,6-7,285,7/14/1998,25,4
Alex Ward,LAR,LS,6-4,240,4/21/1999,25,2
Anthony Goodlow,LAR,DE,6-5,283,7/25/2000,23,R
Beaux Limmer,LAR,OG,6-5,307,6/10/2001,23,R
Blake Corum,LAR,RB,5-8,214,11/25/2000,23,R
Blake Larson,LAR,OL,6-7,300,3/26/2000,24,R
Bobby Brown III,LAR,DT,6-4,324,8/7/2000,23,4
Boston Scott,LAR,RB,5-6,203,4/27/1995,29,6
Braden Fiske,LAR,DT,6-4,295,1/18/2000,24,R
Brennan Jackson,LAR,LB,6-4,266,10/14/2000,23,R
Byron Young,LAR,LB,6-2,250,3/13/1998,26,2
Cam Lampkin,LAR,DB,6-11,173,—,22,R
Cameron McCutcheon,LAR,CB,6-1,204,4/3/2000,24,1
Charles Woods,LAR,DB,5-11,191,—,22,R
Christian Rozeboom,LAR,LB,6-2,230,1/30/1997,27,4
Colby Parkinson,LAR,TE,6-7,251,1/7/1999,25,5
Cooper Kupp,LAR,WR,6-2,208,6/15/1993,31,8
Cory Durden,LAR,DT,6-4,292,1/26/1999,25,1
Darious Williams,LAR,DB,5-9,187,3/15/1993,31,7
David Olajiga,LAR,DT,6-3,276,—,22,R
Davis Allen,LAR,TE,6-6,245,2/3/2001,23,2
Decobie Durant,LAR,CB,5-11,180,2/9/1998,26,3
Demarcus Robinson,LAR,WR,6-1,203,9/21/1994,29,9
Derion Kendrick,LAR,CB,6-0,190,8/24/2000,23,3
Desjuan Johnson,LAR,DE,6-3,252,9/2/1999,24,2
Drake Stoops,LAR,WR,5-10,189,6/16/1999,25,R
Dresser Winn,LAR,QB,6-3,215,11/11/1998,25,1
Eli Neal,LAR,LB,6-0,226,—,22,R
Ernest Jones,LAR,LB,6-2,230,11/22/1999,24,4
Ethan Evans,LAR,P,6-3,231,7/19/2001,22,2
Grant Miller,LAR,OG,6-3,306,9/22/1998,25,1
Hunter Long,LAR,TE,6-5,253,8/19/1998,25,4
JJ Laap,LAR,WR,6-1,190,—,22,R
Jake Hummel,LAR,LB,6-1,235,1/4/1999,25,3
Jared Verse,LAR,DE,6-4,260,11/4/2000,23,R
Jason Taylor II,LAR,SAF,6-0,204,12/30/1999,24,2
Jaylen McCollough,LAR,DB,6-0,206,10/12/2000,23,R
Joe Noteboom,LAR,OG,6-5,321,6/19/1995,29,7
John Johnson,LAR,SS,6-0,209,12/19/1995,28,7
Jonah Jackson,LAR,OG,6-4,311,2/5/1997,27,5
Jordan Whittington,LAR,WR,6-1,204,2/19/2000,24,R
Josh Wallace,LAR,CB,6-0,190,7/5/2000,24,R
Joshua Karty,LAR,K,6-2,208,3/7/2002,22,R
Justin Dedich,LAR,OL,6-2,295,—,22,R
KT Leveston,LAR,OL,6-4,337,10/28/1999,24,R
Kamren Curl,LAR,SAF,6-2,198,3/3/1999,25,5
Kamren Kinchens,LAR,SAF,5-11,205,9/29/2002,21,R
Keir Thomas,LAR,LB,6-2,275,1/25/1998,26,3
Kenny Logan Jr.,LAR,SAF,6-0,205,10/25/2000,23,R
Kevin Dotson,LAR,OG,6-4,321,9/18/1996,27,5
Kobie Turner,LAR,DT,6-2,288,4/26/1999,25,2
Kyren Williams,LAR,RB,5-9,195,8/26/2000,23,3
Larrell Murchison,LAR,DT,6-2,297,4/24/1997,27,5
Logan Bruss,LAR,OG,6-5,309,10/6/1998,25,2
Matthew Stafford,LAR,QB,6-3,220,2/7/1988,36,16
Mike Hoecht,LAR,LB,6-4,310,10/5/1997,26,4
Mike McAllister,LAR,OL,6-2,305,6/12/1999,25,1
Miller Forristall,LAR,TE,6-5,244,3/11/1998,26,1
Neal Johnson,LAR,TE,6-4,260,—,22,R
Nick Hampton,LAR,LB,6-3,235,4/5/2000,24,2
Nikola Kalinic,LAR,TE,6-4,245,1/21/1997,27,2
Ochaun Mathis,LAR,LB,6-5,260,1/8/1999,25,2
Olakunle Fatukasi,LAR,ILB,6-2,240,6/11/1999,25,2
Omar Speights,LAR,LB,6-1,235,3/2/2001,23,R
Puka Nacua,LAR,WR,6-2,205,5/29/2001,23,2
Quentin Lake,LAR,SAF,6-1,201,1/29/1999,25,3
Rob Havenstein,LAR,OT,6-8,330,5/13/1992,32,10
Ronnie Rivers,LAR,RB,5-9,195,1/31/1999,25,3
Russ Yeast,LAR,SAF,5-10,195,5/8/1999,25,3
Sam Wiglusz,LAR,WR,6-0,183,7/24/1999,24,R
Shaun Jolly,LAR,DB,5-9,180,10/17/1998,25,3
Stetson Bennett,LAR,QB,5-11,190,10/28/1997,26,1
Steve Avila,LAR,OG,6-3,332,10/16/1999,24,2
Tanner Brown,LAR,K,6-0,177,12/28/1999,24,R
Tanner Ingle,LAR,SAF,5-8,179,10/29/1999,24,1
Tre'Davious White,LAR,CB,5-9,192,1/16/1995,29,8
Tre'Vius Hodges-Tomlinson,LAR,CB,5-9,180,1/10/2000,24,2
Troy Reeder,LAR,LB,6-3,245,9/13/1994,29,6
Tuli Letuligasenoa,LAR,DL,6-1,292,6/9/2000,24,R
Tutu Atwell,LAR,WR,5-9,165,10/7/1999,24,4
Tyler Davis,LAR,DT,6-2,300,11/1/2000,23,R
Tyler Higbee,LAR,TE,6-6,255,1/1/1993,31,9
Tyler Johnson,LAR,WR,6-1,206,8/25/1998,25,4
Warren McClendon,LAR,OT,6-4,300,4/11/2001,23,2
Xavier Smith,LAR,WR,5-9,174,9/21/1997,26,1
Zach Evans,LAR,RB,5-11,202,5/30/2001,23,2
Zach VanValkenburg,LAR,LB,6-4,263,2/17/1998,26,2
Zachary Thomas,LAR,OT,6-5,300,5/26/1998,26,3
